"tipoProducto","cantidad"
"TP-TP_B","11648"
"EC-EC_A","4880"
"ART-GC_ART","2578"
"TP-TP_A","1459"
"TM-TM_B","1332"
"EC-EC_B","1235"
"IFI-IFI","1229"
"PID-PID_C","976"
"GC_M-GC","903"
"AAD-AAD_C","819"
"WP-WP","795"
"PI-PI_A","554"
"ART-ART_D","542"
"ART-ART_A1","495"
"LIB-GC_LIB","474"
"PID-PID_B","439"
"CAP_LIB-GC_CAP_LIB","418"
"EPA-EPA","385"
"CON_CT-CON_CT","375"
"AC-AP_D","353"
"CAP_LIB-CAP_LIB_B","339"
"LIB-LIB_B","331"
"ART-ART_A2","329"
"GC_I-GC","316"
"AAD-AAD_B","315"
"ART-ART_B","294"
"BOL-BOL","286"
"ART-ART_C","277"
"ECA-ECA_B","245"
"ERL-ERL","239"
"TM-TM_A","203"
"AC-AP_C","159"
"PIC-PIC_C","125"
"MR-MR","124"
"SE-SE","115"
"GC_V-GC","106"
"RC-RC_A","103"
"PE-PE","98"
"AAD-AAD_A","96"
"ECA-ECA_A","82"
"AP-AP_B","78"
"SF-SF_A","69"
"CON_AAD-CON_AAD","67"
"TD-TD_B","65"
"EPC-EPC","64"
"TC-TC_C","51"
"PCC-PCC","48"
"PIV-PA4","48"
"CON-CON","47"
"PMU-MA4","45"
"IPP-IPP","41"
"SD-SD","39"
"INF-INF","31"
"PID-PID_A","31"
"ECA-ECA","29"
"TC-TC_A","26"
"IG-IG_A2","23"
"TD-TD_A","22"
"IG-IG_A1","19"
"AP-AP_A","18"
"PPC-PPC","18"
"DI-DI_B","15"
"LIB-LIB_A1","15"
"PF-PF_A","15"
"EBT-EBT_A","14"
"PIC-PIC_B","14"
"CT-CT","13"
"IG-IG_B1","12"
"TC-TC_B","11"
"DI-DI_A","9"
"AAD-AAD_A1","8"
"PIV-PB5","8"
"EBT-EBT_B","7"
"APO-APO","6"
"GC_A-GC","5"
"LIB-LIB_A","5"
"PF-PF_B","5"
"RN-RNL_B","5"
"PIV-PA3","4"
"ICC-ICC_A","3"
"PIV-PB4","3"
"PP-PP_A","3"
"ICC-ICC_B","2"
"IG-IG_B2","2"
"PIC-PIC_A","2"
"PIV-PB2","2"
"PMU-MB5","2"
"SF-SF_B","2"
"CAP_LIB-CAP_LIB_A","1"
"CAP_LIB-CAP_LIB_A1","1"
"PMU-MA3","1"
"RN-RNT","1"
